YEAR,Female,Male
1950,5.35,19.5
1960,5.25,18.25
1970,7.0,18.3
1980,5.6,19.25
1981,5.9,19.25
1982,5.699999999999999,19.799999999999997
1983,5.45,19.799999999999997
1984,5.5,20.35
1985,5.2,20.55
1986,5.45,21.299999999999997
1987,5.25,21.15
1988,5.05,20.7
1989,4.85,20.5
1990,4.8,20.95
1991,4.7,20.65
1992,4.6,20.0
1993,4.6,20.2
1994,4.4,20.05
1995,4.3,19.9
1996,4.3,19.4
1997,4.3,18.700000000000003
1998,4.3,18.549999999999997
1999,4.0,17.450000000000003
2000,4.0,17.4
2001,4.1,17.9
2002,4.25,18.25
2003,4.25,17.9
2004,4.55,17.950000000000003
2005,4.45,17.950000000000003
2006,4.55,18.0
2007,4.699999999999999,18.45
2008,4.85,19.0
2009,4.95,19.25
2010,5.1,19.85
2011,5.300000000000001,20.1
2012,5.45,20.5
2013,5.6,20.450000000000003
2014,5.9,20.9
2015,6.1,21.3
2016,6.1,21.6
2017,6.199999999999999,22.65
2018,6.300000000000001,23.1
